"File","Lines"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\invoiceService.js","433"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\orders\orderService.js","361"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\inventoryReservationService.js","306"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\pdfService.js","266"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\quotationConversionService.js","247"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\salesOrderService.js","218"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\pricingService.js","200"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\artworkService.js","185"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\productionConsumptionService.js","162"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\paymentService.js","149"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\customerPortalService.js","148"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\ai\forecastService.js","146"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\quotationPersistence.js","144"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\quotationCalculationService.js","135"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\ledgerService.js","126"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\inventoryService.js","125"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\quotationApprovalService.js","118"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\authService.js","113"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\analytics\analyticsService.js","109"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\orderService.js","106"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\invoiceCalculationService.js","106"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\tallyExportService.js","96"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\financeService.js","94"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\payrollService.js","81"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\inventoryMovementService.js","76"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\production\productionService.js","64"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\pdf\pdfService.js","64"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\quotationService.js","62"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\notifications\notificationService.js","48"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\import\importService.js","44"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\salesOrderProductionService.js","44"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\inquiryService.js","41"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\bomService.js","39"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\inventory\inventoryService.js","38"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\finance\financeService.js","38"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\dashboardService.js","37"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\productionService.js","35"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\audit\auditService.js","34"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\predictionService.js","32"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\employeeService.js","32"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\hrService.js","30"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\customerService.js","30"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\purchaseOrderService.js","25"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\auditLogService.js","25"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\procurementService.js","24"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\aiService.js","24"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\analyticsService.js","24"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\attendanceService.js","24"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\reportingService.js","24"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\vendorService.js","21"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\activityService.js","17"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\productionPlanningService.js","17"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\dispatchService.js","17"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\leaveService.js","17"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\supplierService.js","17"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\api.js","16"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\storage.js","14"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\serviceResponse.js","12"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\forecastingService.js","10"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\automationService.js","9"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\whatsapp.js","7"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\anomalyDetectionService.js","5"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\workflow\workflowService.js","5"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\notificationService.js","4"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\workflows\workflowService.js","0"
"C:\Users\DELL\OneDrive\Desktop\boxiq-project\src\services\orchestration\orderOrchestrator.js","0"
